Apatani,English
Aki hii yo hakhiibiine.,The dog took the meat away.
Haman sanii pyuko ho?,Where are vegetables sold?
"Literally 'bitter vegetable"".",The leaves are eaten and have a bitter taste .
Centella asiatica.,The leaves are either boiled or eaten raw with *pila.
Arii hane podoku?,How high has the horn grown (in finger widths)?
Hangii diigo-tango nyima sii ha?,Have you got something to eat?
Mo oho milobo hanyaja hii.,He is the youngest son.
Yo hii yo bade hao da.,The meat is on the ceiling rack.
Putu hao ho ude kone do.,There is a house on the hill.
"No aji mi hapahe, aru holobiidoku a cho lo.",You have done almost all the weeding work of paddy field.
Aki ami mi hargayado.,The dog runs faster than the cat.
Fan si hariido.,The fan is rotating.
Aki mi gari hakhiibiine.,A dog was run over by a car (and is dead) Var: hakhii.
Taxi harlebiine.,The taxi has gone away.
Harti aku.,It has become rusted (lit.
Hiika hata daka ude hii Apa kii.,That house in front (of you) is Apa's house.
"Train time ho alyidiike, hatii- miilii dulyato.","The train may arrive on time, wait calmly."
Niika TV program kaniin si hatin ala kasudu pe ha?,"The way you are watching TV programs, is it of any importance?"
Hangii diisii nyima sii ha?,Do you have something to eat?
Alyi hedu.,The wind blows.
Alyi piilyi hedubiine.,The wind destroyed the hut.
Labourers atan si kiidi hekolado.,The labourers are digging the soil.
Ngo so apin diite hela ato.,I came here after I had my meal (lit.
Ngiimi helo pe!,Please forgive me!
Niimi kapa lala ngo hemper hempyodo.,I am very glad to meet you.
Ngo niimi kapa lala ano hempyodo.,I am very happy to meet you.
Ngunu hii hempyopa apin diidu.,We are happy to eat rice (lit.
Hiila pe hendo.,I think so.
Ngo hendo nii no miyu denki ako.,I think that you are a good/nice person.
"Obing mi ka, kamijapa kamakuniin hii, ngo hendo nii, nyanngo duku do.","The last time I saw Obing was, I think, five years ago."
"No ayimada Itanagar tone pe la hento nii, hiira tochinkiilyi po?","I guess you have been to Itanagar recently, are you going again?"
Hendersiidu ha?,Is it clear?
"Ngo, hu ya pe hiila henderlamato.",I could not make out who he is.
"Yo acho dotokula, niibo mi diichiku henderlakuma.","There are many kinds of meat, I don't know which one to eat."
Molu nunuka colony ho dududo hiila (ngo) henhan kiile.,I thought they live in your colony.
"My child, after buying clothes to go to school, has now refused to go.",That has made me confused on what to do.
Labourer si belcha lo hepalado.,The labourer is removing soil with a shovel.
Gramm: indefinite pronoun of person.,"When used in a negative sentences, gives the sense 'no-one'."
School ho miyu kone heter nyima.,There is no one in the school (lit.
See: hi.,This mixture is kept for fermentation for about one week.
Ngiika aki kapaniin hii pulumane.,The dog whom I saw was not white.
Hii ngiika ude.,That is my house.
Kupato.,That is useless.
"Tapu has gone to school, hasn't he?",I told him not to go.
Phyllotachis bambusoides) but having a thinner skin.,The stem is strong and for that reason commonly used to make pillars.
Hiika ude hii perodo.,That house is big.
Hiika anyan ho.,That year.
Hiika hii ngiika ude.,That is my house.
Hiikane tuniipa ngo miiladiima!,I may not be able to do it so quickly!
Hiila do.,It is/it does (confirming a statement or answering positively to a question).
"No, VKV ho masii ha, purido nii?",Do you study in VKV school?
Inka balu si nunukii hiila chindu ha?,Do you know that garden is yours?
Hiila na ma hempado.,I don't think so.
Insi aki hiilyan ela.,That looks like a dog.
"Mo, Obing hiilyan, luju-lumyo ayado.","He is a polite fellow, just like Obing."
Tapyo si hajmola hiilyan dota ka aha.,This tapyo salt tastes like hajmola.
Mo yasan bananmanii hiilyan bado.,He is collecting firewood as if he does not want to.
Momi kapatonii hiilyan-hiilyan hensuto henderlamato.,I thought (as if) I had seen him/her somewhere but I did not remember.
Hiinkane loda abu bimajalo ayanedii ke.,It is not necessary to give that much to them.
Sokii la ado dope ha?,Is it too far from here?
Hiitampa ha?,Is it like that?
Hiitampa ngiimi kadiyo.,Don't stare at me like that!
Ngo Ziro ho indu.,I moved to Ziro.
Ho nii kapatii?,What did you see there?
Ngo ho aji miila dokindo.,I shall be cultivating the field then.
B: So what?,Let me sleep.
No hogya taker mi membiine.,You killed a leopard.
"No rengiisiidudo, hojalo ngiimi bazar linkunpe.","You must be feeling tired, still please accompany me to the market."
Niinyi no hokii?,Where are you (two) from?
Ngo lemba hopa tolyi.,I come (down) from the village.
"No aji mi hapahe, aru holobiidoku ah cho lo.",You have done almost all the weeding work of paddy field.
Yamu ho buji-buji honbiitola.,There were crackling sounds in the fire.
Acho-amyo hopa patii hii uroja hii.,The tiger is the strongest animal (lit.
Ngiikii arda ngoya ingo ako do hopa school alakenma.,"I have to go somewhere tomorrow, therefore I cannot go to school."
"Ngo siilo doctor mi kapakendo, hopa school alakenma.",I shall see the doctor today so I shall not be able to come to school.
Inka hime si hu pe?,Who is that child?
Insi hu na khedonii?,Who is crying there?
Hu na si?,Who is this?
Hu na ude ho anenii?,Who is the one who came to my house?
"No, hu ya pe?",Who are you?
Inka atan si hu ya pe Tama ka anii?,Who among them is Tama's mother?
Danyi hudo.,The sun shines.
Inka atan sokii hubo ya pe Tama ka anii?,Who among those is Tama's mother?
Ngunupa diigo-tango iche mebii.,Please arrange some food and drink for us.
Iche diito.,Please eat!
Ngo iminando.,I feel like sleeping.
Ngo niika agin ho inbotalyi.,I will go with you.
Inka alyi si atudo.,That pig is small.
Inka miyu si hu?,Who is that man?
Inka insi ngiika ude.,That is my house.
No inpa?,Where are you going?
Ngo inso hao chatema.,I will not go up there.
Opi niido insu-intopa inribiine?,When did Opi start walking?
Intodaka ude hii ngiikii.,That house is mine.
Intodakiisi ngiika ude.,That is my house.
Intosi ngiika ude.,That is my house.
Niimi ipun tarun bobii masii ha?,Are you dragged away by ipun tarun?
Lapo iibyo.,A long arm.
Mo anyi mi iipiikiinento.,Let them broom.
Ude ja kone heter nyima doye.,There was no house.
Ude ja abuje do.,There are many houses.
Jabyo hosu ke lusu da nii.,He is speaking meaninglessly.
No bus jalo tempo latulakindo.,You can catch a bus or a tempo.
Apin jebido.,The rice is pasty/gluey (i.
Si ji kiinipa hiila - no nii na diido nii?,What is this black thing you are you eating?
Yapun hii jijido.,The sky is blue.
Anii hii jijido.,The leaf is green.
Apatanis.,The leaves may be consumed as a vegetable.
Pachu mi gari jipibiine.,The car ran over a chicken.
Sari lune kiidi hii jipudo.,The teacher said that the Earth is round.
Tero mi hime kapakiinedii la hiila jochunbiine.,She has hidden the chilly to avoid the children from seeing it.
Ngiimi joka pe!,Please carry for me!
Siika pen mi ngiimi bipe.,Please give me this pen.
No niimi kadu?,What are you looking at?
Pila ala si kadoku.,This rice porridge has condensed.
Ngiiyi siiper si yasi kacho riilado.,The water lies stagnant and dirty in the fish pond.
Unka ka ude mi kaderbiido.,I can see Unka's house clearly.
Uyi kahokodii la ngo diipyotama ke.,I shall not steal as I may be punished by the gods/spirits.
Ngo Yanya mi kauja.,I envy Yanya.
No taper kai ela luda nii.,You are saying too much.
Simi kakato.,Have a look at/to it!
Look at their shoes!,Let me see.
Nii kaka-kaso.,Let me have a look at that.
Taj Mahal mi American atan hii detail study miidupa la kakur hanyado.,The Americans have returned to relook at the Taj Mahal for detail study.
"No inka car hoka, duniibo miyu mi kaladu ha?",Do you know that man in the car?
Danyi bije kalyandoku.,The sun is at the height of bamboo tips (i.
Kamijapa kamakuniin hii nyanngo dukudo.,I haven't see Obing for ages.
"Ngo doctor kapate, medicine labiitii.",I saw the doctor and took some medicine.
Ngo siidin mi more ho kapato.,I saw the deer in the jungle.
Ngo hii niimi kapabiido.,I am glad to see you.
Nunuka abi-tarii giinii si kapyo kapama.,The clothes that you are wearing do not look good.
Ngo ude penko kapama.,I don't find a place to build a house.
Ngo molumi kapa-kakama.,I haven't seen them before.
Siika pulye si kape-kalodo kii.,This cloth is transparent.
"Lonyi-lohin kapyopa, ngo niimi kapato.",I saw you some days back.
Piilo kardo.,The moon begins to emerge (in the evening sky).
Aki kardo.,The dog is lying.
Piilo karbyanmaran.,The moon is not yet full.
Piilo karlindoku.,The moon has appeared (in the sky).
Piilo karlindu pa myodu doku.,It is time for the moon to emerge (in the sky).
No momi kayeyado.,You are taller than him/her.
Ngo chakindo ke.,I will definitely go (up).
"Si kamolyi ke, nyibyapa insa.","It is becoming dark, let's go quickly."
Ngo siti ketii.,I wrote a letter.
"Niika Tanii agun kenii sii ano pupyosiido, ngoya aya kechinmarampa ke.",The way you write Apatani is very easy to read.
Siika colour si aya kekedo ke.,This colour is strong.
Siika coffee ka colour si ano kekedo.,The colour of this coffee is very strong.
Ngo miilakendo.,I can do (it).
No imikendo.,You shall sleep.
Ngo aki apin mi diikenendii la jochuntalyi ke.,I shall keep the meal away to prevent the dog from eating it.
Kere talo si yalo bidonii ayimapa tachenedo.,"There is a slight crack running along the mirror, it may soon break."
Ngunu London bokindo.,We must go to London.
Siika kheta simi Tamo mi ka bikindonii.,This book is reserved for Tamo.
Ngo apin diitekindoku.,I am going to eat now/at the instant.
"Siisi chakinmane ke, 9 a.","We should not go now, our time is at 9 a."
"Ngo Taki ko chakinsiine, miido huto la opatoku.","I should have gone to Taki's home, [but] since it was raining I gave up."
Ngo siiro kii apin diimaran.,I haven't eaten since this morning.
Mokii oho milobo hinhe du.,He has three sons.
No molumi niida inkiinenchiku.,When will you let them go?
"Kiije, arun- are ako da, dumosa.",The seminar starts at 10 o'clock.
"Ngo yasan takele, ala tabyasiito.",I hurt my hand as I splitted the firewood.
Siiro ka apin si iche bulun-biilekiilindo ke.,This morning's food is a bit sickly.
Kiile-siigan hoka yasi sii kiilo-kiilo.,The waters of rivers and streams are shining.
Ngiimi (iche) inkenen pe.,Please let me go.
Ngiimi imikiinen pe!,Let me sleep!
Momi lukiinento.,Let him/her speak.
Moka miigo mi ato miisukiineto!,Let him/her do his work by himself!
Momi lukiinenyo.,Do not let him/her speak.
"Lithocarpus dealbata (syn: Quercus dealbata), a variety of oak.","The fruits are eaten, and the leaves used in the making of altars."
Gramm: used for counting a particular object.,"When enumerating, as in school, *kiikun is used instead."
Ngunu niinyiko ronnge tere soka hama.,We haven't visited your place even once.
Niiko ho tiiko iche dokindo ha?,Do you have some money (in your possession)?
Dema denjoko pa mo miinekobiine.,He was beaten for being naughty.
Hogya taker hii nolo menkone.,The leopard was killed by you.
Diikobo.,The one who was eaten.
Bikobo.,The one to whom (something) is given.
Miikobo.,The one to whom (something) is done.
Ngo a koda no?,What if I come?
No iche kohiiyato.,Please move a little bit from your place!
Mo kokii puri-rigii.,I learn from him/her.
Kolo ka o miiliinii hii lyikin-lyirisiidoku cho.,The beer which has been prepared one day before has fermented.
Ngo Mumbai ho kolo aku.,I arrived in Mumbai a couple of days back.
Siika lachan si ano kolyan miiloto la kapyodo.,This ring is very round and pretty.
Konchi mi payu agebiine.,A dragonfly got sticked by glue.
Ude ya kone heter nyima doye.,There was no house at all.
Ngo Tanii agun lunii kone tare kapamaran.,I haven't seen a single person who speaks apatani yet.
Mi kone tere akamane.,Did anybody come to my house?
Ngiinyi lenda ponsa pa ude ho aku.,We came home by different routes.
Ngo ude ho daku.,I am at home.
Winter Melon/Wax Gourd/White Gourd (Benincasa hispida).,A non-native cucurbitacea.
Ngo Yami ka coffee kuniin mi tagyabiito la tea ya bito.,I didn't understand that Yami was asking coffee and I gave her tea instead.
Mo ngiimi tukhabiine.,He miskicked me/He failed to hit me.
Ngo ngiihi mi lakhato.,I could not catch hold of the fish.
"Aki, paku daka apin mi, diikhapabiine.",The dog completely finished off the rice on the plate.
Niiko tiiko khesiido ha?,Do you have enough money?
Hime khenii.,A crying baby.
Tanii aji hoka apo khenniin kanepa ngunu town daka miyu atan hii khenchilakenma.,We the people from cities can't work as hard as Apatani farmers do.
Simi ne khiidu?,How much does it cost?
Niika khiibe ajin atan hii nii la ludo?,What do your other friends say?
Miyu khiiga.,A person who offers for sale at too high a price.
Siika shoe si ne khiiniin na?,What is the price of these shoes?
Ngunuka Ziro ganda mi supun ho kiniinjapa busa.,Let us make of our Ziro a most valuable place.
Gramm: used when counting a particular object.,"When enumerating, as in school, *khokun is used in place of *khohe."
"No rengiisiidudo, hojalo yasan khonyehe tatoran.","You must be feeling tired, still cut/split some firewood!"
Ngunuka ude khu simi pyapakendoku.,We have to remove/destroy our old house.
Yo khudoku.,The meat is stale.
Mihi- milo nyi pasudu la ude mi pudu-punyu pujabiine.,A husband and wife quarrelled and completedly destroyed their house.
Molu ngiiyi lane.,They caught some fish.
Ngo doctor kapate medicine labiitii.,I saw the doctor and took some medicine.
No nii subject mi B.,What subjects did you take for your B.
Ngiika salary lamaran.,I haven't got my salary yet.
Ngo imiladoto.,I was sleeping.
"Lembo ka labi dalyi ho, sign board kapatodii ke.",You will see a sign board in the right side of the road.
Ngo imiladokindo.,I shall be sleeping.
Mo luladokindoku.,He will have been speaking.
Molu aladone.,They were coming.
Nunumi ngo meladoto.,I was looking for you.
Ngo imiladotoku.,I had been sleeping.
Police si public kokii kamo laga-lale la dado.,The police takes excessive bribes from the public.
Ngo sa mi tantiilakenma.,I cannot finish the tea.
Si ngiika tarii ka lako.,This is a button of my shirt.
Ngo ngiiyi mi lakhato.,I could not catch hold of the fish.
Mo apin diila lala mo imineku.,He slept after he had his meal (lit.
Molumi lama-kiilin bijalopa ayasii lo.,It doesn't matter even if we gave a little to them.
Inka lanchan car mi kapado nyan an?,Do you see that red car?
Lanchan malo giiniibo ude.,A house with a red roof.
Ngiimi bazar linkun pe.,Please accompany me to the market.
Film hoka actor lintujapa linlyi ho ano kapyone.,The actor of the film was very handsome when he appeared for the first time.
Inka apple sanii simi Tallo liibiine.,"That apple tree, it was Tallo who planted it."
Sanii anii liido.,The tree is shedding its leaves.
No ayasiido lo?,Are you fine?
No kesutii lo?,Have you written?
Siisi lohepa apin diimaran po?,You haven't lunched yet?
Bot) Palm Grass (Molineria capitulata).,The leaves are used for wrapping salt cakes (*tapyo) and in ritual functions.
Alo loniin.,The dawning of the day.
Siilo ngo office hokii lopopa inku.,I left my office in the middle of the day (i.
Taki lu.,Who told you?
Siika ahi mi bachin hiila ludu.,We call this fruit 'bachin'.
Taki-lu noyu inne nii?,Where have Taki and others gone?
No ngiimi lucheyo.,Do not target me!
Ngo Tanii luchinma ke.,I don't speak Apatani.
Ngo Tanii abu luchinmasu.,I don't know much Apatani.
Mo luju-lumyo ayado.,He is a polite fellow.
"Biilyo luko-lumyomapa, siisi arta ho niimi no hokii tiiko labitalyi ?",I give you money now (instantly) ?
Lulu-lugoyayo.,Do not disturb the speech!
Niika luniin mi taderlama ya.,I can't grasp/understand what you are saying.
Molu ude ho luriisiine.,They talked in the house.
Inka nyimii si luruhajado.,That girl is too stubborn.
Niika pen mi bilya pe.,Please lend me your pen.
Ngiika alyihepa so kalyalya pe.,Please wait here until I come.
No siilyin danyi akumarampa ngiika ude ho chalyato.,Do come to my home this evening before sunset.
Kiidi lyangado.,The soil has sunk.
Yasi hii tapin pa lyido.,The water turned into snow.
Insi ke tabu sohe lyido nii.,There is a snake crawling (or 'a snake is crawling there').
Inka ubu sokii tabu sohe lyi.,A snake came out from that hole.
Tabu hii lenda ako ya ho lyiguneku.,The snake has crawled in another direction.
"Student atan hii siiro ka purinii, siisi lyihe puri ridoran.",The students have been studying from this morning and are still doing so.
No ngiika alyiku hepa imitalyi.,You sleep till I come.
Miyu meniin kala la lyilyi miiroja.,I saw the homicide and was very horrified.
Siika dutin simi lyobo-lyokato.,I jumped over the stool.
Mo Tapu ma.,He is not Tapu.
Ngiika aki kapanii hii pulumane.,The dog whom I saw was not white.
No malanjapa bii'nge.,You take the largest share!
"Molu, inka lanchan malo giiniibo ude ho nyan dudu nii.",They live in that house with a red rooftop.
"Si nii aki ha, malo yaki ha?",Is this a dog or a fox?
"Narun mi subu bako nan hempa do, malo sii ya bakotii yu ah.","It appears like a mithun has broken into a fence, or is it a cow who did it?"
Ngo amaranpa mo aneku.,He arrived before me.
Siinyan ude miimasa.,Let us not construct a house this year.
Nii photo pa no frame medu?,You are looking a frame for which photo?
Hogya taker hii no lo menkone.,The leopard was killed by you.
Ngo ngiika ajin mi tasan soye mi bito.,I gave one necklace to my friend.
Ngo momi luriila.,I was speaking to him.
Mi inneku ha?,Has the stranger left?
Mi inpa miidoku ha?,Is the stranger leaving/ going to leave?
Ngo ami- michanii miyu kone kapato.,I saw a blind man.
Si Unka ka miha.,He is Unka's boyfriend/lover.
Ngo mihi biiduku.,I am married.
Mo anyi mihi-milo sii pe ha?,Are they a couple?
Ngo milo induku.,I am married.
Inka milobo hu na?,Who is that guy?
Hime atan hii ball tuminsiidu.,The kids play ball to kill time.
Ngo biilyo kii miigo miiladoku.,I have bee working since yesterday.
Abu kela la niimi henga- henkhadopa miibitama sii ke.,I will not trouble you by writing too long.
Ngo siika atan lo aji ronge miibokokindo.,I shall require help from them once in my field.
Ngiika ali mi yamu miibyane.,I burnt my foot [lit.
Mo ngiika aji mi miidodo.,He is tilling my paddy field (i.
Miigo miipepato.,Do the work to completion!
Siika aji si miiha-miika.,This field is difficult (to till).
Hiimi miije-miije miimapa so ato.,"Don't do that over and over again, come here!"
Ngo miiterja mi miikato.,I tried to put forth my best efforts.
Inka ude atan si nii miiko pa yu?,What are those houses for?
Open this door!,Don't open that one!
Siinyan ngo exam mi miikhejapa miikatalyi.,This year I shall put forth my best efforts on the exam.
Ngiika une mi miikhosiito.,I scratched my wound.
Mo narun-nako miilado.,He is good at constructing fences and all (i.
Subu miilanja mi kapado.,I see all mithuns (without exception).
Miilyaniin mi miito.,Do what is expected of a normal person!
Siika ude ho tiiko-yanii iche donii miilan mi miime-miija liito.,I finished off whatever money saved/left with me on this house.
Ala miiposiito.,I cut my hand.
Ngo miiposiito.,I cut myself.
Ngo miiputo.,I made/committed a mistake.
Ngo ude mi miipu la miito.,I constructed the house mistakenly.
Ato miisuto!,Do yourself!
Ngo miiyeja mi miikato.,I tried to put sufficient effort (into doing something).
Mo anyi anii-oho siipe ha?,Are they mother and son?
Room n° 10 hii mo anyi kii.,The room n° 10 is theirs.
Mo anyiko tiiko bare tere nyikumane.,They two were without even a penny left.
No molumi niida inkiinenchiku?,When will you let them go?
Tabin ka nyimo daka scar si momi kahogiido.,The scar left a mark onTabin's face.
Molumi miibomonto.,Do it with them!
Help me to do it.,Do it with me').
Mopa ngo pencil sohe riibiidu.,I have bought a pencil for him/her.
Aki mudo.,The dog is rutting.
Mo myodi bone.,He went away.
No na aki pido nii?,Where is the dog barking?
Niika ala mi nii na miibiine nii?,What happened to your hand?
Si nii na?,What (thing/matter) is this?
Siika luku si ne khiiniin na?,What is the price of these shoes?
Molu apin diinando.,They want to eat (rice).
Danyi ne ohodoku?,How high is the sun in the sky?
Mo lune.,He spoke.
Siilo da miido hunedo.,It may rain today.
Kere talo si yalo bidoniin ayumapa tachenedo.,"There is a slight crack running along the mirror, it may soon break."
Nii kheta mi no puridu?,What book are you reading?
Si nii (na)?,What is this ?
No nii miidu?,What are you doing?
Hogya taker mi nii lo menbiine?,What was the leopard killed with?
Niiyu keda nii?,What is [he/she] writing?
Taki sii simi kebiinenii.,It was Taki who wrote it.
Ngo ami-michanii miyu kone kapato.,I saw a blind man.
Ii'nga hii anii ka akunii mi kalyaladu.,The kid is waiting for her mother's return.
Giiniibo.,The one who carries.
Molu niida akindo?,When will they come?
Bus niida harne yu ha?,When does the bus leave?
Mo niido ane?,When did he/she come?
Mo niido kii Ziro ho dudu?,How long has he/she been living in Ziro for?
Niidu piidimapa aduyo.,"Don't talk, it's of no use!"
Hii niika o?,What kind of beer is that ?
Hiika o hii niikii?,What is that beer made of?
Siitii hii niimkane kahene?,How big/large was the elephant?
"Old Ziro hii, sokii la niimkane na adodo nii?",How far is Old Ziro from here?
Danyi niimkane doku?,What is the position of the sun?
Niiriipaye diigo do siido cho.,I guess that) there is adequate food available.
No siisi niitan do?,How are you [feeling] now?
No so niitampa ah?,How did you come here?
Danyi niitampa da?,What is the position of the sun?
Siika tarii si nitan do?,How is this shirt?
"Excuse me, can you tell me how I can get to Od Ziro?",What a.
"No, no inpa?",Where are you going?
Inka miyu si nohoka du nii na?,Where does that man stay?
I'm from Hari village.,Where are you from?
Mo nohokii ado?,Where is he/she coming from?
"Biilyo luko-lumyomapa, siisi arta ho niimi nohokii tiiko labitalyi?",I give you money now (instantly)?
Nunuko mi du ha?,Is there anyone at your place?
Molu kapyonyado.,They are beautiful.
Ngiimi nyabe bekin'yo/nyabe biyo.,Don't frown at me!
Mo aku Tama nyan.,He is uncle Tama.
Mo Tubin nyan.,Don't you recognize him?
India ka president hii nyiimii nyan.,The President of India is a lady.
"Obing mi ka, kamijapa kamakuniin hii, ngo hendonii nyanngo duku do.","The last time I saw Obing was, I think, five years ago."
Aki si alo nyendo.,The dog is munching a bone.
Mihi-Milo nyi pasudu hiila ude mi pudu-punyu pujabiine.,A husband and wife quarrelled and completedly destroyed their house.
Dokun ho ajo nyikinma ke amin lo ka.,There will be no use coming to the meeting.
Ude ho ami nyima.,There is no cat in the house.
Mokii aki nyima.,He has no dog.
School ho miyu kone heter nyimane.,There was no one in the school.
Si Tapu ka nyimun.,She is Tapu's girlfriend/lover.
Siika tare mi nyupato pe.,Please dig out this thorn for me!
Mobile so Yampi ka number mi oye telinto pe.,Please dial Yampi's number for me on this phone.
"Kiiran-ranjo pa, prize mi bine.",He was given a prize for his hard work.
Siika tarii si niipa ke.,This shirt is for you.
Siika tarii si hupa?,This shirt is for whom?
Ngo siika tarii mi Anya pa riichi.,I will buy a shirt for Anya.
Ngo Tanii pa ludu.,I speak in Apatani.
Ruja alyi ho ngo apin diipa miito.,I was about to have my meal when Ruja came.
Ngiika alyi ho 3:30 pa miine.,It was about 3:30 when I came.
Ngo pato.,I found it.
Yasan hii pabyapa la do.,The firewood is strewn all over.
Hime si pachosiinyopa miido ho sola da.,The child is playing in the rain fully drenched.
Ngo aki mi ilyo lo pakhiito.,I killed the dog with a machete.
"Siika yo si alo giido ke, pakhiito oye.","This meat has bone, break it!"
Turla daka yasi si papo do.,The mug of water is half full.
Harpo daka yasi si papohe su du nii.,There is only half a bucket of water.
Yampi mi papu-puye bito.,I gave one egg to Yampi.
Lenda parda.,A straight road.
Fan parhii-parkhelado.,The fan is rotating.
Mihi-milo nyi pasudu la ude mi pudu-punyu pujabiine.,A husband and wife quarrelled and completedly destroyed their house.
Ngo Tallo ka ala ho Chobing pa tiiko bipe loto.,I sent money for Chobing in Tallo's hand.
Insi piita pe ha?,Is that a bird?
"Sokii la, adodo pe ha?",Is it far from here?
"Khelyi hoka api-ara pikinnii, ngiika ane.",I cry/weep by clapping (or slapping on objects).
Siika pila si pilan ramba.,This pila is dark brown.
Sanii pinto ho danyi chado.,The sun rises above the tree.
Aji pitandoku.,The paddy field has dried up.
Forktailed Swift (Apus pacificus).,"A large swift with white throat and rump, and deeply forked tail ."
Note the difference: 'Tapu school inne ha?,Has Tapu gone to school?
Siisi loyepa apin diimaran po?,You haven't lunched yet?
Ngo Tara mi potubiito.,I held Tara tight with my hands.
Polepa aduyo no.,Don't overstate!
Ziro ho Tanii lemba ayu hokii ponkanuhe do.,There are seven original Apatani villages in Ziro.
Mo pongejado.,He is really different.
Mo anyi ponsasiido.,They two are different.
Yagii hii potedo.,The basket is full.
Apu si pudo.,The flower is blooming.
Apu pulindo.,The flower is blooming.
Subu puluja mi kapado.,The fairest mithun is visible.
Molu apple purdo.,They are plucking apples.
Ngo niika balu hokii takun puye purdoto.,I plucked one peach (to feed myself) from your garden.
Note the difference: Ngo niika balu hokii takun puye purbii.,I have plucked one peach from your garden (i.
"No, VKV ho ma sii ha, purido nii?",Do you study in VKV school?
Teacher hii pupils mi puri rigiido.,The teacher teaches his pupils (e.
Puri-rigii pe.,Please teach me!
Niika Tanii agun kenii sii ano puri-ripyo siido.,The way you write Tanii is very easy to read.
"Ziro hoka putu-puko, myodi-yasi si ano kapyodo.",The mountains and [surrounding] areas of Ziro are very beautiful (i.
Alye pyako tola do.,The door is open.
Yamu miiri mi pyodu la pyobyasiitii.,I got burnt while seizing live embers with the tongs.
Sanii rabu ura ho tabu do.,There is a snake inside the tree hole.
Student atan hii siiro ka purinii siisi lyiye puri ridorami.,The students have been studying from this morning and are still doing so.
"Ngo anyan-nyanlyanhe Delhi ho date la ude abiihankiile, ngunuka aki hii darami.",I returned home after having spent ten years in Delhi.
"Ngo aladorampa, bus harnubiine.",The bus went off before I arrived.
Mo luladoran.,He is still speaking.
"No rengii siidudo, hojalo yasan khonyehe tatoran.","You must be feeling tired, still cut/split some more firewood!"
Miitoranso.,Do this first (i.
"No rengii siidudo, hojalo ngiimi bazar linkun pe.","You must be feeling tired, still please accompany me to the market."
Pulye ari-rigo hii doran.,The cloth has yet to be stitched.
Yo mi yaso ho rigo-rigo rito la da.,The meat has been strung onto a cane rope.
Ngo siika paragraph mi puri rikhato.,I made a mistake while reading this paragraph.
Ngo basket ball mi basket ura ho rilii rikhato.,I failed to throw the ball into the basket.
"Mo tarii ayadorampa, ripabiine.",He threw away his/her shirt while it was still in good condition.
Siika novel si ano ripyodo.,This novel is very nice to read.
Siika pulye si ano ripyodo.,This cloth is very easy to stitch.
Siika ubu si yasi riiloko ke.,This hole is for pouring water.
Siika shirt si Yama ka riiniin ke.,This shirt is Yama's purchase.
Ude si riisi-riise miitolado.,The house has been dirtied.
"Tatung kedorampa, teacher paper mi robiineku.",The teacher snatched Tatung's paper while he was still writing.
Aki hii yo robiine.,The dog took the meat away.
Ngo Ziro ronge tere chakama.,I haven't come and see Ziro even once.
Niitan rungyanii!,What a nonsense!
"Inka restaurant ho ala, sa hejalo, tankinma byo ha?",What about going over to that restaurant and have tea or something?
Anii hii salyido.,The leaf is green.
Mi mi hiinkane sami- sapoyo.,Don't think that others are weaker!
"Ngiimi ka sangiinii, ngiika ane.",It is my mother who educates me.
"Traffic police ka whistle saniin mi tapala la, ngo cycle/paji domoto.",I heard the whistle of the traffic police and stopped my bicycle.
Sarin do ha?,Do you have cough and cold?
Yo si sarsiido.,The meat has no flavour.
Also cultivated for its fruits.,The Apatanis use them also for making fences to enclose their fields.
Sukun daka yasi si shuhu hulin-hukando.,The well water is continuously filled up (by some spring).
Piita si pado.,The bird is pecking.
Sika ude si ngiikii.,This house is mine.
Si piita dore.,This is a bird.
Si ngiika ude.,This is my house.
No diisito.,You eat now/next (i.
Molu asi-asido.,They are coming one after the other.
Houttunya cordata is maintained along the river bank and agricultural bunds.,It is eaten as a vegetable and for medicinal purposes.
Simi nunu chinsudu ha?,Do you know this?
Taki sii kebiinenii.,It was Taki who wrote it.
Tara mi siitubiilyato.,I kept holding Tara (by holding his clothes).
Simi nunu chinsiidu ha?,Do you know this?
"No rengii siidudo, hojalo yasan khonye-he tatoran.","You must be feeling tired, still cut/split some more firewood!"
Molu ayasiidu lo.,I hope they are fine.
Niiriipaye diigo dosiido cho.,I guess that) there is adequate food available.
Siika ude si ngiikii.,This house is mine.
Siika si ude.,This is a house.
Siiloda miido hunedo.,It may rain today.
Molu ayasiima.,They are not keeping in good terms with each other.
Ngiiyi siiper si yasi kacho riila do.,The water lies stagnant and dirty in the fish pond.
Chinese Pangolin (Manis Pentadactyla).,"A nocturnal mammal, feeding mainly on termites and ants by digging the nests."
Loder mi siitubiilyato.,I kept holding Loder (by holding his clothes).
Miibasiiyo!,Don't do [it] together!
Mobile so Anyo ka number mi oye telinto pe.,Please dial Anyo's number for me on this mobile phone.
"Balu so, yalan acho-acho do.",This garden is full of stones [lit.
Mo nyimun sone.,He had an affair with a girl.
Old Ziro sokii la niimkane na adodo nii?,How far is Old Ziro from here?
Dree alo ho sokun siisa!,Let us celebrate Dree festival!
"Mo, Obing hiilyan, luju-lumyo ayado, ano sola-ngarladu ta.","He is a nice fellow, polite and humorous, just like Obing."
Tabu sonyo doke.,The snake is short.
Tabu sorodo ke.,The snake is long.
Ngiinyipa pen sosa riibiilya.,Please buy one pen for each of us.
